30
 Atoms. Timestep: 0
2 6.90887 10.5681 9.96378
2 7.94606 11.1852 10.1255
2 9.15238 11.9675 9.88507
2 10.1654 12.5725 9.98298
2 11.2231 13.5167 10.1426
2 12.1848 14.2788 10.4411
2 13.2614 15.1411 10.2959
2 14.4449 15.576 10.3084
3 8.70205 14.8734 15.1458
3 9.55084 15.7462 15.5767
3 20.5847 8.14793 18.0563
3 15.9158 19.7563 12.9415
3 16.0763 19.4933 11.7199
3 24.4651 7.24308 16.031
3 20.9085 0.825339 14.2131
3 22.6055 15.759 21.542
3 2.54676 21.9516 11.6221
3 3.3448 22.6894 12.3196
30
 Atoms. Timestep: 1700
1 17.8445 2.37003 20.0655
1 17.5909 1.74234 19.4888
1 24.9219 24.4026 2.44597
1 24.2406 24.268 2.89856
1 9.05492 0.842993 1.72107
1 8.44807 1.32652 2.15592
1 11.4723 11.3233 24.1987
1 12.1543 11.7398 24.2511
1 12.4829 3.39053 13.0803
1 12.0259 3.96514 13.5222
2 4.9382 9.06326 9.16777
2 5.86457 9.79999 9.72682
2 6.92193 10.6453 9.9248
2 7.85557 11.3621 9.97519
2 9.12975 11.9047 10.0268
2 10.1358 12.5857 9.99759
2 11.1914 13.3875 10.1693
2 12.2608 14.1638 10.3888
2 13.3112 14.9632 10.3569
2 14.2125 15.827 10.2991
3 8.64438 14.8342 15.0945
3 9.31452 15.7762 15.6117
3 20.6479 7.95802 18.1391
3 15.7876 19.7787 12.8232
3 16.0654 19.5721 11.6911
3 24.5919 6.993 16.0435
3 20.9055 1.02288 14.2049
3 22.6157 15.6976 21.7014
3 2.72899 22.0473 11.4711
3 3.38143 22.7363 12.3233
30
 Atoms. Timestep: 1800
1 17.666 2.376 19.8026
1 17.4089 1.807 19.2755
1 24.7629 24.2975 2.46157
1 24.1071 24.1933 2.98486
1 9.20068 0.868641 1.77485
1 8.52881 1.1808 2.13564
1 11.6369 11.4817 24.3476
1 12.2386 11.9857 23.9904
1 12.6555 3.36759 13.4064
1 12.0315 3.90339 13.7865
2 4.78075 8.80196 9.24386
2 5.7427 9.78664 9.49914
2 6.80146 10.6842 9.89274
2 7.8798 11.2742 9.95495
2 9.03658 12.0822 10.1236
2 10.1242 12.6846 10.224
2 11.4401 13.2572 10.2719
2 12.4876 14.0661 10.1258
2 13.3957 15.0541 10.3399
2 14.1597 16.1082 10.4384
3 8.59261 14.8081 15.0488
3 9.06545 15.7915 15.6374
3 20.71 7.76252 18.2259
3 15.6537 19.8052 12.724
3 16.0541 19.6444 11.6367
3 24.7247 6.73621 16.0554
3 20.9009 1.22551 14.1979
3 22.6261 15.6347 21.8652
3 2.92687 22.1581 11.3348
3 3.40866 22.7716 12.3083
30
 Atoms. Timestep: 1900
1 17.4986 2.404 19.5244
1 17.2321 1.86862 19.029
1 24.5876 24.1856 2.48362
1 23.9757 24.1167 3.06967
1 9.34007 0.889711 1.83188
1 8.6271 1.03399 2.1137
1 11.9138 11.7276 24.4639
1 12.2224 12.1634 23.7569
1 12.7856 3.38566 13.7746
1 12.0851 3.79735 14.0316
2 4.8354 9.01487 9.38862
